eGRID2012 Version 1.0 State File (Year 2009 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This state file has 51 records and 111 data elements.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eGRID2012 year 2009 file state sequence number,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input (MMBtu),State ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual CO2 equivalent emissions (tons),State annual Hg emissions (lbs),State annual NOx total output emission rate (lb/MWh),State ozone season NOx total output emission rate (lb/MWh),State annual SO2 total output emission rate (lb/MWh),State annual CO2 total output emission rate (lb/MWh),State annual CH4 total output emission rate (lb/GWh),State annual N2O total output emission rate (lb/GWh),State annual CO2 equivalent total output emission rate (lb/MWh),State annual Hg total output emission rate (lb/GWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual Hg input emission rate (lb/BBtu),State annual NOx combustion output emission rate (lb/MWh),State ozone season NOx combustion output emission rate (lb/MWh),State annual SO2 combustion output emission rate (lb/MWh),State annual CO2 combustion output emission rate (lb/MWh),State annual CH4 combustion output emission rate (lb/GWh),State annual N2O combustion output emission rate (lb/GWh),State annual Hg combustion output emission rate (lb/GWh),State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season NOx fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh),State annual Hg coal output emission rate (lb/GWh),State annual Hg fossil fuel output emission rate (lb/GWh),State annual NOx coal input emission rate (lb/MMBtu),State annual NOx oil input emission rate (lb/MMBtu),State annual NOx gas input emission rate (lb/MMBtu),State annual NOx fossil fuel input emission rate (lb/MMBtu),State ozone season NOx coal input emission rate (lb/MMBtu),State ozone season NOx oil input emission rate (lb/MMBtu),State ozone season NOx gas input emission rate (lb/MMBtu),State ozone season NOx fossil fuel input emission rate (lb/MMBtu),State annual SO2 coal input emission rate (lb/MMBtu),State annual SO2 oil input emission rate (lb/MMBtu),State annual SO2 gas input emission rate (lb/MMBtu),State annual SO2 fossil fuel input emission rate (lb/MMBtu),State annual CO2 coal input emission rate (lb/MMBtu),State annual CO2 oil input emission rate (lb/MMBtu),State annual CO2 gas input emission rate (lb/MMBtu),State annual CO2 fossil fuel input emission rate (lb/MMBtu),State annual Hg coal input emission rate (lb/BBtu),State annual Hg fossil fuel input emission rate (lb/BBtu),State annual NOx non-baseload output emission rate (lb/MWh),State ozone season NOx non-baseload output emission rate (lb/MWh),State annual SO2 non-baseload output emission rate (lb/MWh) ,State annual CO2 non-baseload  output emission rate (lb/MWh) ,State annual CH4 non-baseload output emission rate (lb/GWh),State annual N2O non-baseload output emission rate (lb/GWh),State annual Hg non-baseload  output emission rate (lb/GWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),State other fossil  generation percent (resource mix),State other unknown/ purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),State total combustion generation percent (resource mix),State total noncombustion generation percent (resource mix),,,,,,,,,,,,
SEQST09,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,,,,,,,,,,,,
1,AK,02,"2,216.0","54,976,164.8","20,616,663.2","6,702,159.4","2,454,500.3","11,718.53","4,145.94","3,879.54","3,774,145.9","177,773.9","46,877.7","3,783,278.6",N/A,3.4969,3.3782,1.1577,"1,126.25",26.52,6.99,"1,128.97",N/A,0.4263,0.4022,0.1411,137.30,N/A,4.3633,4.2152,1.4445,"1,405.28",33.10,8.73,N/A,6.2035,10.0830,2.1913,4.3633,5.9710,10.1088,2.2585,4.2323,3.9184,4.4331,0.0395,1.4445,"2,229.94","1,494.30","1,229.31","1,405.28",N/A,N/A,0.5938,1.0903,0.2084,0.4263,0.5860,1.0737,0.2073,0.4022,0.3751,0.4794,0.0038,0.1411,213.45,161.59,116.91,137.30,N/A,N/A,5.7269,4.9638,1.8946,"1,348.29",38.41,7.41,N/A,"630,591.6","1,156,881.8","3,577,403.2",0.0,"1,323,744.4","6,511.4","7,027.0",0.0,0.0,0.0,0.0,"5,364,876.6","1,337,282.8","13,538.4","5,371,388.0","1,330,771.4",9.4088,17.2613,53.3769,0.0000,19.7510,0.0972,0.1048,0.0000,0.0000,0.0000,0.0000,80.0470,19.9530,0.2020,80.1441,19.8559,,,,,,,,,,,,
2,AL,01,"34,473.9","850,029,186.3","389,365,523.7","143,353,886.4","61,840,874.5","53,140.26","22,022.40","283,315.68","74,601,803.6","2,706,022.5","2,270,746.8","74,982,182.6",N/A,0.7414,0.7122,3.9527,"1,040.81",18.88,15.84,"1,046.11",N/A,0.1250,0.1131,0.6666,175.53,N/A,1.1666,1.1207,6.2197,"1,637.76",29.70,24.93,N/A,1.5680,25.6513,0.1008,1.1508,1.4756,25.5964,0.0983,1.0316,8.9572,1.0290,0.0046,6.4058,"2,032.64","1,715.47",897.17,"1,709.36",N/A,N/A,0.1546,2.4380,0.0134,0.1223,0.1448,2.4380,0.0130,0.1104,0.8830,0.0978,0.0006,0.6810,200.38,163.04,118.89,181.71,N/A,N/A,1.3755,1.2974,7.0098,"1,568.96",28.08,22.28,N/A,"55,608,723.8","219,273.7","31,715,413.5","39,716,204.0","12,535,373.0","3,416,109.1",0.0,0.0,0.0,"142,789.3",0.0,"127,402,404.3","15,951,482.1","3,416,109.1","91,102,309.4","52,251,577.0",38.7912,0.1530,22.1239,27.7050,8.7444,2.3830,0.0000,0.0000,0.0000,0.0996,0.0000,88.8727,11.1273,2.3830,63.5506,36.4494,,,,,,,,,,,,
3,AR,05,"16,474.8","356,414,574.7","175,467,992.1","57,457,739.0","26,662,342.1","35,714.86","16,911.19","72,406.12","31,963,586.1","1,128,618.3","999,639.3","32,130,380.7",N/A,1.2432,1.2685,2.5203,"1,112.59",19.64,17.40,"1,118.40",N/A,0.2004,0.1928,0.4063,179.36,N/A,1.8800,1.9184,3.8114,"1,682.53",29.70,26.31,N/A,2.6093,30.0962,0.2510,1.8883,2.6262,28.1108,0.3171,1.8064,5.4409,1.6766,0.0843,3.8016,"2,145.59","2,082.23",896.65,"1,763.40",N/A,N/A,0.2550,2.3566,0.0333,0.2008,0.2559,2.4380,0.0411,0.1930,0.5318,0.1313,0.0112,0.4043,209.72,163.04,119.12,187.52,N/A,N/A,0.9588,0.6800,1.6601,"1,186.99",30.47,12.97,N/A,"25,075,250.3","88,469.6","11,221,413.2","15,169,966.0","4,293,071.0","1,585,550.1",0.0,0.0,0.0,"24,018.7",0.0,"51,579,117.9","5,878,621.1","1,585,550.1","37,994,702.0","19,463,037.0",43.6412,0.1540,19.5299,26.4020,7.4717,2.7595,0.0000,0.0000,0.0000,0.0418,0.0000,89.7688,10.2312,2.7595,66.1263,33.8737,,,,,,,,,,,,
4,AZ,04,"29,543.5","700,310,572.1","341,752,308.5","111,971,250.3","53,597,074.2","66,552.64","29,204.27","36,401.55","60,723,571.3","1,732,339.9","1,596,793.2","60,989,263.8",N/A,1.1887,1.0898,0.6502,"1,084.63",15.47,14.26,"1,089.37",N/A,0.1901,0.1709,0.1040,173.42,N/A,1.7826,1.6342,0.9750,"1,626.48",23.20,21.39,N/A,3.1757,19.1551,0.1846,1.7813,3.1526,19.2012,0.1814,1.5698,1.7937,0.2368,0.0417,0.9768,"2,268.25","1,898.11",899.08,"1,629.92",N/A,N/A,0.2890,1.6454,0.0245,0.1900,0.2850,1.6523,0.0240,0.1708,0.1632,0.0203,0.0055,0.1042,206.43,163.04,119.44,173.86,N/A,N/A,0.7736,0.7008,0.5376,"1,191.49",20.29,9.65,N/A,"39,706,817.3","62,699.1","34,739,169.6","30,661,851.0","6,596,825.0","160,198.2","29,545.0","14,145.0",0.0,0.0,0.0,"105,170,537.1","6,800,713.2","203,888.2","74,668,884.3","37,302,366.0",35.4616,0.0560,31.0251,27.3837,5.8915,0.1431,0.0264,0.0126,0.0000,0.0000,0.0000,93.9264,6.0736,0.1821,66.6858,33.3142,,,,,,,,,,,,
5,CA,06,"71,707.7","993,812,673.7","452,424,295.1","204,767,739.7","96,953,939.6","20,492.48","7,882.31","14,421.68","56,970,357.6","6,355,108.6","917,694.4","57,179,328.9",N/A,0.2002,0.1626,0.1409,556.44,31.04,4.48,558.48,N/A,0.0412,0.0348,0.0290,114.65,N/A,0.3262,0.2650,0.2296,906.94,50.59,7.30,N/A,0.7468,0.8388,0.2526,0.2744,0.7650,0.8529,0.2104,0.2332,8.8417,0.2677,0.0118,0.2071,"1,813.20","1,798.82",899.71,934.21,N/A,N/A,0.0835,0.0899,0.0332,0.0358,0.0849,0.0911,0.0268,0.0295,0.9889,0.0287,0.0016,0.0270,202.79,192.70,118.33,121.95,N/A,N/A,0.3337,0.2259,0.0318,993.85,35.87,4.38,N/A,"2,049,946.9","2,897,474.3","113,466,592.3","31,763,804.0","28,040,885.3","6,230,276.4","5,839,813.2","638,997.0","12,852,783.0","444,006.0","543,161.3","151,164,984.7","53,602,755.0","25,561,869.6","125,631,457.1","79,136,282.6",1.0011,1.4150,55.4123,15.5121,13.6940,3.0426,2.8519,0.3121,6.2768,0.2168,0.2653,73.8227,26.1773,12.4833,61.3531,38.6469,,,,,,,,,,,,
6,CO,08,"15,413.0","471,888,713.3","203,423,551.9","50,508,473.6","21,227,488.4","63,937.49","28,678.18","48,082.10","43,860,031.0","1,097,248.1","1,265,250.2","44,067,665.8",N/A,2.5318,2.7020,1.9039,"1,736.74",21.72,25.05,"1,744.96",N/A,0.2710,0.2820,0.2038,185.89,N/A,2.7980,2.9861,2.1041,"1,919.38",24.01,27.68,N/A,3.3509,13.8063,1.5289,2.8047,3.4035,13.8168,1.9172,2.9585,2.9102,0.5995,0.2444,2.1092,"2,318.90","2,302.91","1,004.25","1,923.99",N/A,N/A,0.3007,0.9773,0.1806,0.2713,0.3019,0.9780,0.2220,0.2822,0.2611,0.0424,0.0289,0.2040,208.08,163.02,118.64,186.08,N/A,N/A,2.5133,2.6897,1.7762,"1,730.92",23.36,21.93,N/A,"31,636,022.8","13,453.1","13,942,862.5",0.0,"1,777,066.0","56,552.0","3,003,521.0","25,585.0",0.0,0.0,"53,411.2","45,645,749.6","4,862,724.0","3,085,658.0","45,702,301.7","4,806,172.0",62.6351,0.0266,27.6050,0.0000,3.5184,0.1120,5.9466,0.0507,0.0000,0.0000,0.1057,90.3725,9.6275,6.1092,90.4844,9.5156,,,,,,,,,,,,
7,CT,09,"8,712.7","123,236,236.1","50,526,287.9","31,206,222.0","13,292,831.3","5,690.46","2,044.61","5,866.82","8,999,870.2","1,933,298.9","328,320.5","9,071,059.5",N/A,0.3647,0.3076,0.3760,576.80,61.95,10.52,581.36,N/A,0.0924,0.0809,0.0952,146.06,N/A,0.8110,0.6840,0.8361,"1,282.59",137.76,23.39,N/A,0.9711,2.3779,0.1734,0.3740,0.6679,2.8753,0.1730,0.2851,1.7160,3.4260,0.0311,0.5272,"1,976.29","2,253.83",872.31,"1,119.50",N/A,N/A,0.1018,0.1693,0.0237,0.0472,0.0741,0.1780,0.0238,0.0370,0.1799,0.2440,0.0043,0.0666,207.23,160.49,119.47,141.39,N/A,N/A,0.7420,0.6271,0.8247,"1,291.10",81.43,17.29,N/A,"2,453,497.5","298,877.7","9,809,351.1","16,657,382.0","514,930.6","715,869.0",0.0,0.0,0.0,"743,095.2","13,219.0","29,975,422.4","1,230,799.6","715,869.0","14,033,909.4","17,172,312.6",7.8622,0.9578,31.4340,53.3784,1.6501,2.2940,0.0000,0.0000,0.0000,2.3812,0.0424,96.0559,3.9441,2.2940,44.9715,55.0285,,,,,,,,,,,,
8,DC,11,868.0,"542,604.4","409,519.0","35,499.0","25,834.0",81.46,52.54,329.52,"44,102.0","3,786.3",757.5,"44,259.2",N/A,4.5892,4.0671,18.5649,"2,484.69",106.66,21.34,"2,493.55",N/A,0.3002,0.2566,1.2146,162.56,N/A,4.5892,4.0671,18.5649,"2,484.69",106.66,21.34,N/A,N/A,4.5892,N/A,4.5892,N/A,4.0671,N/A,4.0671,N/A,18.5649,N/A,18.5649,N/A,"2,484.69",N/A,"2,484.69",N/A,N/A,N/A,0.3002,N/A,0.3002,N/A,0.2566,N/A,0.2566,N/A,1.2146,N/A,1.2146,N/A,162.56,N/A,162.56,N/A,N/A,4.5892,4.0671,18.5649,"2,484.69",106.66,21.34,N/A,0.0,"35,499.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35,499.0",0.0,0.0,"35,499.0",0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,,,,,,,,,,,,
9,DE,10,"3,521.5","52,060,055.3","21,333,637.4","4,841,562.9","1,876,969.6","4,955.89","1,705.60","17,381.14","4,346,095.6","127,086.2","112,853.9","4,364,922.3",N/A,2.0472,1.8174,7.1800,"1,795.33",26.25,23.31,"1,803.10",N/A,0.1904,0.1599,0.6677,166.96,N/A,2.0472,1.8174,7.1800,"1,795.33",26.25,23.31,N/A,2.6761,15.9532,1.0088,2.0646,2.7898,15.8912,0.9481,1.8332,11.4090,11.0952,0.0663,7.2408,"2,041.28","6,005.25","1,412.41","1,810.54",N/A,N/A,0.2610,0.4315,0.0870,0.1921,0.2554,0.2760,0.0806,0.1613,1.1128,0.3001,0.0057,0.6737,199.10,162.43,121.83,168.46,N/A,N/A,1.9717,1.7898,6.6149,"1,780.84",26.84,22.14,N/A,"2,848,170.9","258,365.7","1,376,400.5",0.0,0.0,"125,611.4",0.0,0.0,0.0,"227,137.4","5,876.9","4,715,951.5","125,611.4","125,611.4","4,841,562.9",0.0,58.8275,5.3364,28.4288,0.0000,0.0000,2.5944,0.0000,0.0000,0.0000,4.6914,0.1214,97.4056,2.5944,2.5944,100.0000,0.0000,,,,,,,,,,,,
