eGRID 9th edition Version 1.0 State File (Year 2010 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This state file has 51 records and 111 data elements.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eGRID 9th edition year 2010 file state sequence number,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input (MMBtu),State ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual CO2 equivalent emissions (tons),State annual Hg emissions (lbs),State annual NOx total output emission rate (lb/MWh),State ozone season NOx total output emission rate (lb/MWh),State annual SO2 total output emission rate (lb/MWh),State annual CO2 total output emission rate (lb/MWh),State annual CH4 total output emission rate (lb/GWh),State annual N2O total output emission rate (lb/GWh),State annual CO2 equivalent total output emission rate (lb/MWh),State annual Hg total output emission rate (lb/GWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual Hg input emission rate (lb/BBtu),State annual NOx combustion output emission rate (lb/MWh),State ozone season NOx combustion output emission rate (lb/MWh),State annual SO2 combustion output emission rate (lb/MWh),State annual CO2 combustion output emission rate (lb/MWh),State annual CH4 combustion output emission rate (lb/GWh),State annual N2O combustion output emission rate (lb/GWh),State annual Hg combustion output emission rate (lb/GWh),State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season NOx fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh),State annual Hg coal output emission rate (lb/GWh),State annual Hg fossil fuel output emission rate (lb/GWh),State annual NOx coal input emission rate (lb/MMBtu),State annual NOx oil input emission rate (lb/MMBtu),State annual NOx gas input emission rate (lb/MMBtu),State annual NOx fossil fuel input emission rate (lb/MMBtu),State ozone season NOx coal input emission rate (lb/MMBtu),State ozone season NOx oil input emission rate (lb/MMBtu),State ozone season NOx gas input emission rate (lb/MMBtu),State ozone season NOx fossil fuel input emission rate (lb/MMBtu),State annual SO2 coal input emission rate (lb/MMBtu),State annual SO2 oil input emission rate (lb/MMBtu),State annual SO2 gas input emission rate (lb/MMBtu),State annual SO2 fossil fuel input emission rate (lb/MMBtu),State annual CO2 coal input emission rate (lb/MMBtu),State annual CO2 oil input emission rate (lb/MMBtu),State annual CO2 gas input emission rate (lb/MMBtu),State annual CO2 fossil fuel input emission rate (lb/MMBtu),State annual Hg coal input emission rate (lb/BBtu),State annual Hg fossil fuel input emission rate (lb/BBtu),State annual NOx non-baseload output emission rate (lb/MWh),State ozone season NOx non-baseload output emission rate (lb/MWh),State annual SO2 non-baseload output emission rate (lb/MWh) ,State annual CO2 non-baseload  output emission rate (lb/MWh) ,State annual CH4 non-baseload output emission rate (lb/GWh),State annual N2O non-baseload output emission rate (lb/GWh),State annual Hg non-baseload  output emission rate (lb/GWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),State other fossil  generation percent (resource mix),State other unknown/ purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),State total combustion generation percent (resource mix),State total noncombustion generation percent (resource mix),,,,,,,,,,,,
SEQST10,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,,,,,,,,,,,,
1,AK,02,"2,235.4","54,264,933.2","20,315,770.3","6,747,178.4","2,557,329.0","10,938.14","3,766.96","1,337.80","3,668,215.6","165,562.5","43,488.4","3,676,694.7",N/A,3.2423,2.9460,0.3966,"1,087.33",24.54,6.45,"1,089.85",N/A,0.4031,0.3708,0.0493,135.20,N/A,4.1173,3.7411,0.5036,"1,380.77",31.16,8.18,N/A,6.4899,10.5180,2.1240,4.1173,6.0492,10.5669,2.1773,3.8706,3.6533,0.2607,0.0368,0.5036,"2,201.05","1,447.00","1,226.93","1,380.77",N/A,N/A,0.6274,1.1697,0.2024,0.4031,0.6044,1.1990,0.2010,0.3708,0.3532,0.0290,0.0035,0.0493,212.78,160.92,116.90,135.20,N/A,N/A,6.9664,5.4081,0.3820,"1,396.84",40.13,8.07,N/A,"620,443.3","936,512.0","3,750,023.7",0.0,"1,421,288.0","6,304.4","12,607.0",0.0,0.0,0.0,0.0,"5,306,979.0","1,440,199.3","18,911.4","5,313,283.4","1,433,895.0",9.1956,13.8801,55.5791,0.0000,21.0649,0.0934,0.1868,0.0000,0.0000,0.0000,0.0000,78.6548,21.3452,0.2803,78.7482,21.2518,,,,,,,,,,,,
2,AL,01,"35,263.2","980,862,367.3","464,506,321.6","152,150,512.1","68,355,264.0","66,622.21","28,823.32","209,590.23","85,715,048.6","2,993,903.1","2,540,640.2","86,140,283.8",N/A,0.8757,0.8433,2.7550,"1,126.71",19.68,16.70,"1,132.30",N/A,0.1358,0.1241,0.4274,174.77,N/A,1.2629,1.2162,3.9731,"1,624.85",28.38,24.08,N/A,1.7471,23.7961,0.1017,1.2460,1.6602,23.8076,0.0991,1.1370,5.7411,0.7632,0.0046,3.9894,"2,014.87","1,591.40",897.24,"1,673.71",N/A,N/A,0.1734,2.4380,0.0135,0.1339,0.1629,2.4380,0.0131,0.1221,0.5699,0.0782,0.0000,0.4288,200.02,163.04,118.88,179.88,N/A,N/A,1.3312,1.3906,4.9711,"1,452.31",25.60,19.02,N/A,"63,050,410.6","199,853.6","39,235,017.1","37,940,821.0","8,704,254.0","2,740,666.8",0.0,0.0,0.0,"279,489.0",0.0,"140,705,591.3","11,444,920.8","2,740,666.8","105,505,437.1","46,645,075.0",41.4395,0.1314,25.7870,24.9364,5.7208,1.8013,0.0000,0.0000,0.0000,0.1837,0.0000,92.4779,7.5221,1.8013,69.3428,30.6572,,,,,,,,,,,,
3,AR,05,"17,085.5","402,232,244.1","202,554,137.2","60,994,581.5","29,168,807.0","39,423.06","18,971.25","70,842.77","36,164,186.1","1,244,587.7","1,119,887.4","36,350,836.8",N/A,1.2927,1.3008,2.3229,"1,185.82",20.40,18.36,"1,191.94",N/A,0.1960,0.1873,0.3522,179.82,N/A,1.8634,1.8751,3.3485,"1,709.35",29.41,26.47,N/A,2.5697,-0.0785,0.2781,1.8734,2.6817,0.0000,0.3127,1.7921,4.7700,-0.0811,0.0213,3.3270,"2,158.68",-74.88,927.15,"1,784.46",N/A,N/A,0.2497,0.1708,0.0357,0.1965,0.2536,0.1708,0.0397,0.1874,0.4634,0.1765,0.0027,0.3489,209.73,163.04,118.88,187.15,N/A,N/A,0.7959,0.8982,1.0480,"1,240.24",30.54,13.19,N/A,"28,152,445.1","45,179.4","12,468,098.6","15,022,678.0","3,658,441.0","1,619,318.7",0.0,0.0,0.0,"28,420.7",0.0,"55,716,821.9","5,277,759.7","1,619,318.7","42,313,462.5","18,681,119.0",46.1556,0.0741,20.4413,24.6295,5.9980,2.6549,0.0000,0.0000,0.0000,0.0466,0.0000,91.3472,8.6528,2.6549,69.3725,30.6275,,,,,,,,,,,,
4,AZ,04,"29,616.6","687,920,950.2","331,246,288.2","111,750,756.6","52,814,858.3","61,480.17","27,179.65","37,021.35","61,050,565.5","1,724,431.1","1,686,270.6","61,330,044.0",N/A,1.1003,1.0292,0.6626,"1,092.62",15.43,15.09,"1,097.62",N/A,0.1787,0.1641,0.1076,177.49,N/A,1.6714,1.5634,1.0064,"1,659.68",23.44,22.92,N/A,2.6833,18.4727,0.1288,1.6699,2.6538,17.4767,0.1291,1.5026,1.6677,0.8535,0.0048,1.0078,"2,172.05","2,860.72",890.99,"1,663.74",N/A,N/A,0.2542,1.0331,0.0172,0.1787,0.2525,1.0495,0.0171,0.1640,0.1580,0.0477,0.0000,0.1079,205.78,159.98,118.79,178.07,N/A,N/A,0.6005,0.6350,0.3862,"1,111.39",19.85,7.96,N/A,"43,643,806.9","66,434.3","29,675,942.0","31,199,935.0","6,831,190.0","182,979.4","134,916.0","15,553.0",0.0,0.0,0.0,"104,586,118.2","7,164,638.4","333,448.4","73,569,162.6","38,181,594.0",39.0546,0.0594,26.5555,27.9192,6.1129,0.1637,0.1207,0.0139,0.0000,0.0000,0.0000,93.5887,6.4113,0.2984,65.8333,34.1667,,,,,,,,,,,,
5,CA,06,"73,142.4","918,907,179.8","365,363,573.2","204,267,352.5","91,532,061.3","17,579.95","7,473.64","13,726.92","52,220,430.3","6,272,224.6","903,490.5","52,426,329.7",N/A,0.1721,0.1633,0.1344,511.29,30.71,4.42,513.31,N/A,0.0383,0.0409,0.0299,113.66,N/A,0.2945,0.2794,0.2300,874.92,52.54,7.57,N/A,0.7772,0.8593,0.2176,0.2408,0.7821,0.8604,0.2379,0.2627,9.5487,0.2731,0.0098,0.2104,"1,776.76","1,825.71",867.67,901.50,N/A,N/A,0.0867,0.0900,0.0297,0.0325,0.0881,0.0901,0.0317,0.0347,1.0657,0.0286,0.0013,0.0284,198.30,191.27,118.28,121.82,N/A,N/A,0.2456,0.2581,0.0357,934.25,37.91,4.81,N/A,"2,100,221.3","2,437,889.5","107,677,690.9","32,200,757.0","33,259,605.0","6,030,188.3","6,078,632.0","756,224.0","12,600,098.0","495,830.8","630,215.7","145,542,605.3","58,724,747.3","25,465,142.3","119,372,036.5","84,895,316.0",1.0282,1.1935,52.7141,15.7640,16.2824,2.9521,2.9758,0.3702,6.1684,0.2427,0.3085,71.2510,28.7490,12.4666,58.4391,41.5609,,,,,,,,,,,,
6,CO,08,"15,668.2","484,872,353.6","211,928,640.2","50,759,105.5","21,848,780.9","59,701.07","25,364.24","48,893.16","46,144,407.7","1,129,077.5","1,383,861.1","46,370,761.5",N/A,2.3523,2.3218,1.9265,"1,818.17",22.24,27.26,"1,827.09",N/A,0.2463,0.2394,0.2017,190.34,N/A,2.6065,2.5727,2.1347,"2,014.67",24.65,30.21,N/A,3.1891,16.6657,0.7191,2.6138,3.1837,12.6291,0.6007,2.5738,2.7905,1.9133,0.0065,2.1406,"2,319.85","3,220.39","1,036.08","2,020.30",N/A,N/A,0.2853,0.8433,0.0825,0.2465,0.2792,0.8440,0.0698,0.2396,0.2497,0.0968,0.0000,0.2019,207.57,162.95,118.81,190.52,N/A,N/A,1.9486,1.8684,1.5075,"1,772.80",24.42,21.93,N/A,"34,559,290.0","17,482.2","11,101,811.8",0.0,"1,457,471.6","60,183.7","3,451,851.0","41,274.2",0.0,0.0,"69,741.0","45,748,324.9","5,010,780.6","3,553,309.0","45,808,508.7","4,950,596.8",68.0849,0.0344,21.8716,0.0000,2.8714,0.1186,6.8005,0.0813,0.0000,0.0000,0.1374,90.1283,9.8717,7.0003,90.2469,9.7531,,,,,,,,,,,,
7,CT,09,"8,916.7","142,894,801.7","70,699,254.0","33,349,623.3","15,019,272.0","6,107.73","3,047.11","5,463.70","10,253,243.4","1,984,006.9","340,003.9","10,326,776.1",N/A,0.3663,0.4058,0.3277,614.89,59.49,10.20,619.30,N/A,0.0855,0.0862,0.0765,143.51,N/A,0.7541,0.8353,0.6746,"1,265.90",122.48,20.99,N/A,1.0056,2.1260,0.2035,0.4029,1.0268,1.9668,0.2430,0.4624,1.5448,2.8949,0.0339,0.4396,"1,996.08","2,115.95",895.88,"1,129.65",N/A,N/A,0.1045,0.1575,0.0271,0.0498,0.1056,0.1539,0.0317,0.0557,0.1605,0.2144,0.0045,0.0543,207.39,156.72,119.42,139.52,N/A,N/A,0.8538,1.3912,0.7107,"1,347.67",84.94,17.59,N/A,"2,604,398.9","408,931.5","11,729,608.1","16,750,304.0","400,159.3","697,837.1",0.0,0.0,0.0,"745,301.4","13,083.0","32,251,626.9","1,097,996.4","697,837.1","16,199,160.0","17,150,463.3",7.8094,1.2262,35.1716,50.2264,1.1999,2.0925,0.0000,0.0000,0.0000,2.2348,0.0392,96.7076,3.2924,2.0925,48.5737,51.4263,,,,,,,,,,,,
8,DC,11,850.0,"2,789,422.3","2,610,401.1","199,858.0","187,981.0",381.82,356.54,889.58,"226,368.4","19,464.6","3,894.0","227,176.4",N/A,3.8209,3.7934,8.9021,"2,265.29",97.39,19.48,"2,273.38",N/A,0.2738,0.2732,0.6378,162.30,N/A,3.8209,3.7934,8.9021,"2,265.29",97.39,19.48,N/A,N/A,3.8209,N/A,3.8209,N/A,3.7934,N/A,3.7934,N/A,8.9021,N/A,8.9021,N/A,"2,265.29",N/A,"2,265.29",N/A,N/A,N/A,0.2738,N/A,0.2738,N/A,0.2732,N/A,0.2732,N/A,0.6378,N/A,0.6378,N/A,162.30,N/A,162.30,N/A,N/A,3.8209,8.4476,8.9021,"2,265.29",97.39,19.48,N/A,0.0,"199,858.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"199,858.0",0.0,0.0,"199,858.0",0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,,,,,,,,,,,,
9,DE,10,"3,486.5","54,662,748.6","31,133,403.5","5,627,645.0","3,241,701.0","4,551.24","2,372.17","15,107.28","4,326,901.8","127,536.4","116,018.8","4,346,223.9",N/A,1.6175,1.4635,5.3690,"1,537.73",22.66,20.62,"1,544.60",N/A,0.1665,0.1524,0.5527,158.31,N/A,1.6182,1.4642,5.3714,"1,538.43",22.67,20.63,N/A,2.6685,10.2261,0.3776,1.6312,2.6149,14.4501,0.3706,1.4737,9.8910,18.7939,0.0083,5.4144,"2,001.59","7,528.71","1,005.64","1,550.76",N/A,N/A,0.2481,0.2204,0.0448,0.1681,0.2424,0.2142,0.0439,0.1536,0.9195,0.4051,0.0000,0.5579,186.07,162.27,119.28,159.78,N/A,N/A,1.4704,1.6160,4.7281,"1,499.59",23.00,18.92,N/A,"2,568,370.0","56,094.7","2,864,982.9",0.0,0.0,"135,641.4","2,556.0",0.0,0.0,0.0,0.0,"5,489,447.6","138,197.4","138,197.4","5,625,089.0","2,556.0",45.6385,0.9968,50.9091,0.0000,0.0000,2.4103,0.0454,0.0000,0.0000,0.0000,0.0000,97.5443,2.4557,2.4557,99.9546,0.0454,,,,,,,,,,,,
