eGRID2010 Version 1.1 State File (Year 2007 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This state file has 51 records and 111 data elements.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eGRID2010 year 2007 file state sequence number,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input (MMBtu),State ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual CO2 equivalent emissions (tons),State annual Hg emissions (lbs),State annual NOx total output emission rate (lb/MWh),State ozone season NOx total output emission rate (lb/MWh),State annual SO2 total output emission rate (lb/MWh),State annual CO2 total output emission rate (lb/MWh),State annual CH4 total output emission rate (lb/GWh),State annual N2O total output emission rate (lb/GWh),State annual CO2 equivalent total output emission rate (lb/MWh),State annual Hg total output emission rate (lb/GWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual Hg input emission rate (lb/BBtu),State annual NOx combustion output emission rate (lb/MWh),State ozone season NOx combustion output emission rate (lb/MWh),State annual SO2 combustion output emission rate (lb/MWh),State annual CO2 combustion output emission rate (lb/MWh),State annual CH4 combustion output emission rate (lb/GWh),State annual N2O combustion output emission rate (lb/GWh),State annual Hg combustion output emission rate (lb/GWh),State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season NOx fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh),State annual Hg coal output emission rate (lb/GWh),State annual Hg fossil fuel output emission rate (lb/GWh),State annual NOx coal input emission rate (lb/MMBtu),State annual NOx oil input emission rate (lb/MMBtu),State annual NOx gas input emission rate (lb/MMBtu),State annual NOx fossil fuel input emission rate (lb/MMBtu),State ozone season NOx coal input emission rate (lb/MMBtu),State ozone season NOx oil input emission rate (lb/MMBtu),State ozone season NOx gas input emission rate (lb/MMBtu),State ozone season NOx fossil fuel input emission rate (lb/MMBtu),State annual SO2 coal input emission rate (lb/MMBtu),State annual SO2 oil input emission rate (lb/MMBtu),State annual SO2 gas input emission rate (lb/MMBtu),State annual SO2 fossil fuel input emission rate (lb/MMBtu),State annual CO2 coal input emission rate (lb/MMBtu),State annual CO2 oil input emission rate (lb/MMBtu),State annual CO2 gas input emission rate (lb/MMBtu),State annual CO2 fossil fuel input emission rate (lb/MMBtu),State annual Hg coal input emission rate (lb/BBtu),State annual Hg fossil fuel input emission rate (lb/BBtu),State annual NOx non-baseload output emission rate (lb/MWh),State ozone season NOx non-baseload output emission rate (lb/MWh),State annual SO2 non-baseload output emission rate (lb/MWh) ,State annual CO2 non-baseload  output emission rate (lb/MWh) ,State annual CH4 non-baseload output emission rate (lb/GWh),State annual N2O non-baseload output emission rate (lb/GWh),State annual Hg non-baseload  output emission rate (lb/GWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),State other fossil  generation percent (resource mix),State other unknown/ purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),State total combustion generation percent (resource mix),State total noncombustion generation percent (resource mix),,,,,,,,,,,,
SEQST07,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,,,,,,,,,,,,
1,AK,02,"2,173.3","56,870,291.6","22,172,542.0","6,821,391.6","2,650,269.7","12,613.11","4,909.89","3,991.73","3,870,171.3","178,811.0","46,691.4","3,879,286.0",N/A,3.6981,3.7052,1.1704,"1,134.72",26.21,6.84,"1,137.39",N/A,0.4436,0.4429,0.1404,136.11,N/A,4.5624,4.5712,1.4439,"1,399.91",32.34,8.44,N/A,8.1839,11.2949,2.1129,4.5397,7.8117,11.2611,2.1676,4.6091,7.3803,2.9283,0.0364,1.4367,"2,219.10","1,536.09","1,215.55","1,392.95",N/A,N/A,0.7884,1.1850,0.2032,0.4436,0.7911,1.1949,0.2011,0.4429,0.7110,0.3072,0.0035,0.1404,213.78,161.16,116.90,136.11,N/A,N/A,6.0781,5.8022,1.4220,"1,381.67",39.97,7.92,N/A,"641,409.4","1,009,990.2","3,867,539.5",0.0,"1,291,223.0","10,217.6","1,012.0",0.0,0.0,0.0,0.0,"5,518,939.1","1,302,452.6","11,229.6","5,529,156.6","1,292,235.0",9.4029,14.8062,56.6972,0.0000,18.9290,0.1498,0.0148,0.0000,0.0000,0.0000,0.0000,80.9064,19.0936,0.1646,81.0561,18.9439,,,,,,,,,,,,
2,AL,01,"33,900.3","1,037,010,661.1","484,829,824.0","143,826,270.8","67,130,838.1","127,046.47","41,449.99","453,832.10","95,175,079.1","3,252,679.8","3,104,833.2","95,690,481.4",N/A,1.7667,1.2349,6.3108,"1,323.47",22.62,21.59,"1,330.64",N/A,0.2450,0.1710,0.8753,183.56,N/A,2.4115,1.6857,8.6145,"1,806.58",30.87,29.47,N/A,2.9408,25.0753,0.1605,2.4296,2.0811,25.0335,0.1534,1.6574,10.8217,0.5034,0.0238,8.8301,"2,090.16","1,676.95",930.07,"1,876.05",N/A,N/A,0.2835,2.4380,0.0205,0.2452,0.2003,2.4380,0.0197,0.1689,1.0431,0.0489,0.0030,0.8913,201.47,163.04,118.54,189.36,N/A,N/A,1.9684,1.3479,7.0836,"1,542.88",30.80,22.17,N/A,"77,993,760.4","156,921.9","23,231,776.3","34,325,127.0","4,136,114.0","3,800,620.1",0.0,0.0,0.0,"181,951.2",0.0,"135,889,536.7","7,936,734.1","3,800,620.1","105,365,029.8","38,461,241.0",54.2278,0.1091,16.1527,23.8657,2.8758,2.6425,0.0000,0.0000,0.0000,0.1265,0.0000,94.4817,5.5183,2.6425,73.2585,26.7415,,,,,,,,,,,,
3,AR,05,"16,461.7","370,102,217.8","183,165,084.6","54,596,235.6","25,737,281.4","40,539.86","18,807.00","78,215.37","32,758,019.7","1,384,538.5","1,136,388.6","32,948,697.6",N/A,1.4851,1.4615,2.8652,"1,200.01",25.36,20.81,"1,207.00",N/A,0.2191,0.2054,0.4227,177.02,N/A,2.2620,2.2261,4.3642,"1,827.82",38.63,31.70,N/A,2.8516,24.8275,0.2965,2.2319,2.9418,24.8109,0.3066,2.0481,5.5926,2.0935,0.1141,4.2636,"2,245.66","1,660.38",894.39,"1,917.85",N/A,N/A,0.2605,2.4380,0.0395,0.2208,0.2642,2.4380,0.0403,0.2060,0.5110,0.2056,0.0152,0.4217,205.17,163.04,119.23,189.70,N/A,N/A,1.0695,0.8945,2.0462,"1,175.92",42.21,15.73,N/A,"25,744,179.9","94,152.8","8,364,250.8","15,486,102.0","3,266,357.0","1,623,743.9",0.0,0.0,0.0,"17,449.2",0.0,"49,706,134.6","4,890,100.9","1,623,743.9","35,843,776.6","18,752,459.0",47.1538,0.1725,15.3202,28.3648,5.9828,2.9741,0.0000,0.0000,0.0000,0.0320,0.0000,91.0432,8.9568,2.9741,65.6525,34.3475,,,,,,,,,,,,
4,AZ,04,"28,724.3","771,179,426.7","368,364,039.0","113,340,970.3","54,449,008.1","85,561.19","38,475.76","57,798.14","66,806,501.0","1,796,874.6","1,763,432.8","67,098,700.3",N/A,1.5098,1.4133,1.0199,"1,178.86",15.85,15.56,"1,184.01",N/A,0.2219,0.2089,0.1499,173.26,N/A,2.1437,2.0066,1.4481,"1,673.79",22.51,22.09,N/A,3.9354,22.8113,0.1750,2.1431,3.9925,22.7571,0.2089,1.9464,2.7634,2.2144,0.0048,1.4483,"2,402.23","1,779.06",874.78,"1,674.05",N/A,N/A,0.3348,2.0844,0.0238,0.2218,0.3404,2.0726,0.0287,0.2088,0.2351,0.2023,0.0007,0.1499,204.34,162.56,118.82,173.27,N/A,N/A,0.7545,0.8026,0.4697,"1,191.09",19.69,9.04,N/A,"41,275,362.0","49,275.6","38,469,220.8","26,782,391.0","6,723,082.0","32,989.9",0.0,"8,649.0",0.0,0.0,0.0,"106,576,249.4","6,764,720.9","41,638.9","79,826,848.3","33,514,122.0",36.4170,0.0435,33.9411,23.6299,5.9317,0.0291,0.0000,0.0076,0.0000,0.0000,0.0000,94.0315,5.9685,0.0367,70.4307,29.5693,,,,,,,,,,,,
5,CA,06,"68,274.3","1,035,273,477.1","491,484,872.8","211,159,504.1","98,392,826.5","40,895.52","17,993.76","43,185.64","59,745,976.8","6,278,405.6","894,536.1","59,950,553.1",N/A,0.3873,0.3658,0.4090,565.88,29.73,4.24,567.82,N/A,0.0790,0.0732,0.0834,115.42,N/A,0.6360,0.6006,0.6716,929.20,48.82,6.96,N/A,6.9357,7.5109,0.2492,0.5086,6.9766,7.5205,0.2468,0.4870,8.7437,19.4551,0.0115,0.5016,"1,633.90","2,251.48",907.29,948.02,N/A,N/A,0.8769,0.7329,0.0325,0.0656,0.8736,0.7318,0.0314,0.0614,1.1055,1.8983,0.0015,0.0647,206.58,219.68,118.30,122.25,N/A,N/A,0.3587,0.3330,0.1711,"1,045.91",40.31,4.86,N/A,"2,298,305.6","2,333,919.8","116,012,828.9","35,792,490.0","27,637,529.9","5,699,014.9","5,584,933.4","556,969.0","12,990,711.0","2,038,173.9","214,627.8","158,690,346.0","52,469,158.2","24,831,628.3","128,596,870.9","82,562,633.2",1.0884,1.1053,54.9409,16.9505,13.0885,2.6989,2.6449,0.2638,6.1521,0.9652,0.1016,75.1519,24.8481,11.7597,60.9003,39.0997,,,,,,,,,,,,
6,CO,08,"13,732.4","528,829,212.8","233,762,534.1","53,907,492.1","23,244,923.1","69,513.22","30,098.09","68,294.66","48,707,188.2","1,232,425.3","1,434,672.2","48,942,502.9",N/A,2.5790,2.5896,2.5338,"1,807.07",22.86,26.61,"1,815.80",N/A,0.2629,0.2575,0.2583,184.21,N/A,2.7232,2.7345,2.6755,"1,908.13",24.14,28.10,N/A,3.6082,12.6350,0.5060,2.7265,3.6864,11.0577,0.5411,2.7135,3.7409,3.8470,0.0095,2.6793,"2,264.65","3,048.08","1,020.81","1,910.84",N/A,N/A,0.3257,0.6758,0.0590,0.2629,0.3301,0.6981,0.0594,0.2577,0.3376,0.2058,0.0011,0.2584,204.40,163.04,118.96,184.27,N/A,N/A,1.7092,1.7538,1.5543,"1,528.32",22.93,15.96,N/A,"35,935,739.2","28,449.5","15,015,812.5",0.0,"1,561,471.6","31,105.0","1,291,516.1","2,208.0",0.0,0.0,"41,190.1","51,021,191.4","2,886,300.7","1,324,829.1","51,052,296.4","2,855,195.7",66.6619,0.0528,27.8548,0.0000,2.8966,0.0577,2.3958,0.0041,0.0000,0.0000,0.0764,94.6458,5.3542,2.4576,94.7035,5.2965,,,,,,,,,,,,
7,CT,09,"8,770.9","151,791,376.4","68,204,961.9","33,164,459.2","14,585,412.6","13,627.61","5,813.39","38,819.30","11,455,975.3","1,977,435.0","386,072.6","11,536,579.6",N/A,0.8218,0.7972,2.3410,690.86,59.63,11.64,695.72,N/A,0.1796,0.1705,0.5115,150.94,N/A,1.6582,1.6084,4.7235,"1,393.95",120.31,23.49,N/A,1.1726,2.2290,0.1233,0.7177,1.2109,2.1145,0.1146,0.6607,5.6052,2.8085,0.0073,2.1298,"2,070.28","1,980.15",874.66,"1,291.50",N/A,N/A,0.1161,0.1751,0.0168,0.0830,0.1222,0.1637,0.0159,0.0786,0.5549,0.2206,0.0010,0.2464,204.94,155.56,118.86,149.39,N/A,N/A,1.2160,1.2979,2.3875,"1,396.14",78.82,17.53,N/A,"3,738,722.5","1,310,846.0","9,931,754.9","16,386,142.0","341,568.8","688,085.8",0.0,0.0,0.0,"754,019.1","13,320.0","32,134,804.6","1,029,654.6","688,085.8","16,436,748.4","16,727,710.8",11.2733,3.9526,29.9470,49.4087,1.0299,2.0748,0.0000,0.0000,0.0000,2.2736,0.0402,96.8953,3.1047,2.0748,49.5613,50.4387,,,,,,,,,,,,
8,DC,11,868.0,"1,288,841.2","1,111,532.1","75,251.0","71,234.0",159.72,137.83,374.17,"104,664.7","8,996.1","1,804.4","105,038.9",N/A,4.2449,3.8698,9.9445,"2,781.75",119.55,23.98,"2,791.69",N/A,0.2478,0.2480,0.5806,162.42,N/A,4.2449,3.8698,9.9445,"2,781.75",119.55,23.98,N/A,N/A,4.2449,N/A,4.2449,N/A,3.8698,N/A,3.8698,N/A,9.9445,N/A,9.9445,N/A,"2,781.75",N/A,"2,781.75",N/A,N/A,N/A,0.2478,N/A,0.2478,N/A,0.2480,N/A,0.2480,N/A,0.5806,N/A,0.5806,N/A,162.42,N/A,162.42,N/A,N/A,4.2449,3.8698,9.9445,"2,781.75",119.55,23.98,N/A,0.0,"75,251.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"75,251.0",0.0,0.0,"75,251.0",0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000,,,,,,,,,,,,
9,DE,10,"3,524.5","85,580,458.8","39,563,634.6","8,534,163.3","4,022,904.5","11,239.13","4,689.34","34,089.05","7,696,592.6","209,763.8","219,894.5","7,732,878.8",N/A,2.6339,2.3313,7.9888,"1,803.71",24.58,25.77,"1,812.22",N/A,0.2627,0.2371,0.7967,179.87,N/A,2.6339,2.3313,7.9888,"1,803.71",24.58,25.77,N/A,3.5506,3.7711,0.3655,2.6344,3.3409,3.4638,0.3324,2.3302,11.5736,9.6246,0.0184,8.0341,"2,178.96","1,840.68",954.16,"1,813.94",N/A,N/A,0.3307,0.3192,0.0453,0.2629,0.3112,0.3131,0.0411,0.2371,1.0779,0.8146,0.0023,0.8017,202.93,155.79,118.33,181.01,N/A,N/A,2.2676,1.9341,6.6154,"1,687.05",24.55,22.11,N/A,"5,621,822.5","241,136.0","1,901,983.6",0.0,0.0,"48,116.0",0.0,0.0,0.0,"721,105.2",0.0,"8,486,047.3","48,116.0","48,116.0","8,534,163.3",0.0,65.8743,2.8255,22.2867,0.0000,0.0000,0.5638,0.0000,0.0000,0.0000,8.4496,0.0000,99.4362,0.5638,0.5638,100.0000,0.0000,,,,,,,,,,,,
