eGRID2012 State File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This state file has 51 records and 111 data elements.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eGRID2012 file state sequence number,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input (MMBtu),State ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual CO2 equivalent emissions (tons),State annual Hg emissions (lbs),State annual NOx total output emission rate (lb/MWh),State ozone season NOx total output emission rate (lb/MWh),State annual SO2 total output emission rate (lb/MWh),State annual CO2 total output emission rate (lb/MWh),State annual CH4 total output emission rate (lb/GWh),State annual N2O total output emission rate (lb/GWh),State annual CO2 equivalent total output emission rate (lb/MWh),State annual Hg total output emission rate (lb/GWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual Hg input emission rate (lb/BBtu),State annual NOx combustion output emission rate (lb/MWh),State ozone season NOx combustion output emission rate (lb/MWh),State annual SO2 combustion output emission rate (lb/MWh),State annual CO2 combustion output emission rate (lb/MWh),State annual CH4 combustion output emission rate (lb/GWh),State annual N2O combustion output emission rate (lb/GWh),State annual Hg combustion output emission rate (lb/GWh),State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season NOx fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh),State annual Hg coal output emission rate (lb/GWh),State annual Hg fossil fuel output emission rate (lb/GWh),State annual NOx coal input emission rate (lb/MMBtu),State annual NOx oil input emission rate (lb/MMBtu),State annual NOx gas input emission rate (lb/MMBtu),State annual NOx fossil fuel input emission rate (lb/MMBtu),State ozone season NOx coal input emission rate (lb/MMBtu),State ozone season NOx oil input emission rate (lb/MMBtu),State ozone season NOx gas input emission rate (lb/MMBtu),State ozone season NOx fossil fuel input emission rate (lb/MMBtu),State annual SO2 coal input emission rate (lb/MMBtu),State annual SO2 oil input emission rate (lb/MMBtu),State annual SO2 gas input emission rate (lb/MMBtu),State annual SO2 fossil fuel input emission rate (lb/MMBtu),State annual CO2 coal input emission rate (lb/MMBtu),State annual CO2 oil input emission rate (lb/MMBtu),State annual CO2 gas input emission rate (lb/MMBtu),State annual CO2 fossil fuel input emission rate (lb/MMBtu),State annual Hg coal input emission rate (lb/BBtu),State annual Hg fossil fuel input emission rate (lb/BBtu),State annual NOx non-baseload output emission rate (lb/MWh),State ozone season NOx non-baseload output emission rate (lb/MWh),State annual SO2 non-baseload output emission rate (lb/MWh) ,State annual CO2 non-baseload  output emission rate (lb/MWh) ,State annual CH4 non-baseload output emission rate (lb/GWh),State annual N2O non-baseload output emission rate (lb/GWh),State annual Hg non-baseload  output emission rate (lb/GWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),State other fossil  generation percent (resource mix),State other unknown/ purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),State total combustion generation percent (resource mix),State total noncombustion generation percent (resource mix)
SEQST12,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR
1,AK,02,"2,762.0","55,212,470.1","21,979,611.4","6,928,294.5","2,577,024.1","11,728.39","4,818.86","2,384.25","3,766,232.7","170,189.7","46,156.7","3,775,174.0",N/A,3.3856,3.7399,0.6883,"1,087.20",24.56,6.66,"1,089.78",N/A,0.4248,0.4385,0.0864,136.43,N/A,4.3976,4.8577,0.8940,"1,412.17",31.91,8.65,N/A,6.2822,10.1293,2.3918,4.3976,6.0240,10.2376,2.6417,4.7388,3.5740,2.0779,0.0384,0.8940,"2,165.01","1,397.86","1,271.23","1,412.17",N/A,N/A,0.6168,1.1718,0.2200,0.4248,0.6077,1.1330,0.2280,0.4385,0.3509,0.2404,0.0035,0.0864,212.58,161.70,116.92,136.43,N/A,N/A,8.4473,7.0044,0.5937,"1,387.62",38.61,6.08,N/A,"684,959.2","1,037,761.6","3,608,695.4",0.0,"1,575,045.0","2,565.4","19,268.0",0.0,0.0,0.0,0.0,"5,331,416.1","1,596,878.4","21,833.4","5,333,981.5","1,594,313.0",9.8864,14.9786,52.0863,0.0000,22.7335,0.0370,0.2781,0.0000,0.0000,0.0000,0.0000,76.9513,23.0487,0.3151,76.9884,23.0116
2,AL,01,"36,284.1","940,198,951.5","457,545,013.7","153,105,217.0","69,693,465.6","49,346.43","24,871.13","137,191.46","76,372,600.9","2,944,703.1","2,041,775.6","76,719,995.5",N/A,0.6446,0.7137,1.7921,997.65,19.23,13.34,"1,002.19",N/A,0.1050,0.1087,0.2918,162.46,N/A,0.9415,1.0424,2.6174,"1,457.09",28.09,19.48,N/A,1.6161,23.6582,0.0859,0.9121,1.6960,23.6454,0.0906,0.9623,4.7515,1.5179,0.0045,2.5641,"2,055.18","1,582.18",872.01,"1,510.09",N/A,N/A,0.1554,2.4380,0.0117,0.1015,0.1616,2.4380,0.0122,0.1058,0.4569,0.1564,0.0006,0.2852,197.61,163.04,118.86,167.97,N/A,N/A,1.4089,1.9529,4.8074,"1,585.80",26.47,22.06,N/A,"45,606,920.0","109,583.2","55,705,000.4","40,841,212.0","7,435,223.0","3,229,612.1",0.0,0.0,0.0,"177,666.3",0.0,"142,440,381.8","10,664,835.1","3,229,612.1","104,828,782.0","48,276,435.0",29.7880,0.0716,36.3835,26.6753,4.8563,2.1094,0.0000,0.0000,0.0000,0.1160,0.0000,93.0343,6.9657,2.1094,68.4685,31.5315
3,AR,05,"18,689.2","461,695,316.6","221,026,926.2","65,005,677.9","29,402,200.4","37,359.33","17,430.69","82,001.39","40,020,363.7","1,562,067.5","1,244,521.8","40,229,666.2",N/A,1.1494,1.1857,2.5229,"1,231.29",24.03,19.14,"1,237.73",N/A,0.1618,0.1577,0.3552,173.36,N/A,1.5806,1.6305,3.4694,"1,693.21",33.04,26.33,N/A,2.2787,N/A,0.3026,1.5414,2.3031,N/A,0.3605,1.5104,5.3753,N/A,0.0062,3.3720,"2,276.17",N/A,889.82,"1,758.91",N/A,N/A,0.2099,N/A,0.0404,0.1606,0.2093,N/A,0.0469,0.1566,0.4952,N/A,0.0008,0.3513,209.71,N/A,118.83,183.25,N/A,N/A,1.2484,1.4246,2.4263,"1,414.43",34.79,19.03,N/A,"28,430,929.8","32,559.6","17,117,412.9","15,493,131.0","2,240,882.0","1,660,370.1",0.0,0.0,0.0,"30,392.4",0.0,"61,104,425.8","3,901,252.1","1,660,370.1","47,271,664.9","17,734,013.0",43.7361,0.0501,26.3322,23.8335,3.4472,2.5542,0.0000,0.0000,0.0000,0.0468,0.0000,93.9986,6.0014,2.5542,72.7193,27.2807
4,AZ,04,"35,774.8","670,369,581.0","322,632,308.5","110,614,113.4","52,578,137.4","49,017.27","21,695.77","21,055.10","58,602,854.8","1,724,213.4","1,588,514.7","58,867,178.8",N/A,0.8863,0.8253,0.3807,"1,059.59",15.59,14.36,"1,064.37",N/A,0.1462,0.1345,0.0628,174.84,N/A,1.3869,1.2914,0.5957,"1,658.08",24.39,22.47,N/A,2.2638,10.5909,0.1946,1.3820,2.3038,10.8536,0.1933,1.2467,1.0160,4.8284,0.0299,0.5958,"2,208.70","5,160.18",929.46,"1,663.53",N/A,N/A,0.2113,0.3346,0.0250,0.1459,0.2142,0.3408,0.0246,0.1341,0.0948,0.1526,0.0038,0.0629,206.11,163.04,119.28,175.66,N/A,N/A,0.5677,0.6334,0.2876,"1,112.62",18.89,8.20,N/A,"40,115,665.7","41,911.9","30,295,010.5","31,933,916.0","6,796,379.0","235,028.3","249,411.0","946,791.0",0.0,0.0,0.0,"102,386,504.1","8,227,609.3","1,431,230.3","70,687,616.4","39,926,497.0",36.2663,0.0379,27.3880,28.8697,6.1442,0.2125,0.2255,0.8559,0.0000,0.0000,0.0000,92.5619,7.4381,1.2939,63.9047,36.0953
5,CA,06,"97,737.5","1,022,257,541.8","460,274,489.3","199,189,655.8","91,285,385.3","18,268.77","8,645.91","17,622.66","57,165,609.7","6,596,594.8","894,245.8","57,373,339.8",N/A,0.1834,0.1894,0.1769,573.98,33.12,4.49,576.07,N/A,0.0357,0.0376,0.0345,111.84,N/A,0.2817,0.2909,0.2717,881.45,50.86,6.89,N/A,0.8882,0.9293,0.2177,0.2326,0.9439,0.9522,0.2403,0.2543,10.5614,2.6882,0.0088,0.1495,"1,739.06","1,514.02",888.87,911.46,N/A,N/A,0.1050,0.0928,0.0288,0.0306,0.1066,0.0966,0.0310,0.0326,1.2483,0.2684,0.0012,0.0197,205.56,151.15,118.05,119.82,N/A,N/A,0.2663,0.3311,0.2647,992.89,40.11,5.37,N/A,"1,258,252.6","1,692,979.8","119,645,391.9","18,507,408.0","27,409,558.0","6,273,300.0","9,685,429.0","1,360,235.0","12,518,999.0","180,918.5","657,184.1","141,942,134.8","57,247,520.9","29,837,962.9","129,708,026.8","69,481,629.0",0.6317,0.8499,60.0661,9.2913,13.7605,3.1494,4.8624,0.6829,6.2850,0.0908,0.3299,71.2598,28.7402,14.9797,65.1179,34.8821
6,CO,08,"16,952.1","457,759,946.9","205,706,407.9","52,547,910.6","23,245,124.4","51,081.16","23,006.63","41,588.09","43,843,974.1","1,063,915.8","1,320,662.8","44,059,835.2",N/A,1.9442,1.9795,1.5829,"1,668.72",20.25,25.13,"1,676.94",N/A,0.2232,0.2237,0.1817,191.56,N/A,2.2617,2.3028,1.8414,"1,941.29",23.55,29.24,N/A,2.6085,32.6167,1.0937,2.2674,2.5546,33.2129,1.4310,2.2575,2.3637,6.3412,0.0712,1.8460,"2,229.63","5,640.95",974.23,"1,946.72",N/A,N/A,0.2436,0.9427,0.1330,0.2234,0.2400,0.9438,0.1679,0.2239,0.2207,0.1833,0.0087,0.1819,208.18,163.03,118.51,191.82,N/A,N/A,2.2006,2.4967,1.4730,"1,656.17",22.77,20.42,N/A,"34,521,019.9","11,045.2","10,524,445.0",0.0,"1,252,741.0","57,989.5","5,961,967.0","163,335.0",0.0,0.0,"55,368.0","45,111,878.1","7,436,032.5","6,183,291.5","45,169,867.6","7,378,043.0",65.6944,0.0210,20.0283,0.0000,2.3840,0.1104,11.3458,0.3108,0.0000,0.0000,0.1054,85.8490,14.1510,11.7670,85.9594,14.0406
7,CT,09,"10,902.7","146,138,524.1","66,500,837.4","35,557,337.4","15,682,722.0","4,385.74","2,208.79","19,617.59","9,332,621.5","2,009,867.9","264,162.7","9,394,670.3",N/A,0.2467,0.2817,1.1034,524.93,56.52,7.43,528.42,N/A,0.0600,0.0664,0.2685,127.72,N/A,0.4829,0.5514,2.1600,"1,027.56",110.65,14.54,N/A,2.1404,3.0681,0.1678,0.2030,2.1291,3.0499,0.1800,0.2218,2.9088,2.4344,0.0158,0.0797,"3,146.57","2,230.45",851.59,883.08,N/A,N/A,0.1426,0.2144,0.0234,0.0277,0.1474,0.2141,0.0248,0.0299,0.1937,0.1701,0.0022,0.0109,209.57,155.86,119.00,120.57,N/A,N/A,0.5111,0.9067,0.4159,"1,063.10",95.92,13.35,N/A,"95,875.4","107,534.8","16,538,171.2","17,077,887.0","314,857.0","687,881.4",0.0,0.0,0.0,"735,130.6",0.0,"34,554,599.0","1,002,738.4","687,881.4","18,164,593.4","17,392,744.0",0.2696,0.3024,46.5113,48.0292,0.8855,1.9346,0.0000,0.0000,0.0000,2.0675,0.0000,97.1799,2.8201,1.9346,51.0854,48.9146
8,DC,11,860.8,"692,776.0","372,786.3","71,786.8","36,239.5",45.36,26.97,23.10,"44,221.2","2,367.3",350.4,"44,300.4",N/A,1.2636,1.4885,0.6437,"1,232.02",32.98,4.88,"1,234.22",N/A,0.1309,0.1447,0.0667,127.66,N/A,1.2636,1.4885,0.6437,"1,232.02",32.98,4.88,N/A,N/A,4.4605,0.7820,1.2636,N/A,4.9743,0.7820,1.4885,N/A,4.7228,0.0292,0.6437,N/A,"2,814.90",993.55,"1,232.02",N/A,N/A,N/A,0.2580,0.0920,0.1309,N/A,0.2604,0.0920,0.1447,N/A,0.2732,0.0034,0.0667,N/A,162.83,116.89,127.66,N/A,N/A,2.2217,4.8549,1.8662,"1,706.39",59.24,10.65,N/A,0.0,"9,399.0","62,387.8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"71,786.8",0.0,0.0,"71,786.8",0.0,0.0000,13.0929,86.9071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,100.0000,0.0000
9,DE,10,"3,999.4","80,579,254.7","40,475,020.9","8,633,823.3","4,306,143.0","2,412.33","1,264.42","3,279.30","5,424,329.7","184,373.8","78,240.4","5,438,386.9",N/A,0.5588,0.5873,0.7596,"1,256.53",21.35,9.06,"1,259.79",N/A,0.0599,0.0625,0.0814,134.63,N/A,0.5605,0.5890,0.7620,"1,260.35",21.42,9.09,N/A,1.2031,20.8192,0.4310,0.5645,1.1097,13.9596,0.4629,0.5923,4.3408,28.4888,0.0218,0.7674,"2,130.91","11,943.58","1,089.58","1,265.95",N/A,N/A,0.1151,0.2831,0.0473,0.0604,0.1081,0.2173,0.0503,0.0629,0.4152,0.3874,0.0024,0.0821,203.82,162.41,119.53,135.43,N/A,N/A,0.6588,0.8505,1.1803,"1,315.06",21.55,10.23,N/A,"1,422,702.5","265,342.9","6,814,727.2",0.0,0.0,"104,853.6","3,638.0","22,559.0",0.0,0.0,0.0,"8,502,772.6","131,050.6","131,050.6","8,607,626.3","26,197.0",16.4782,3.0733,78.9306,0.0000,0.0000,1.2145,0.0421,0.2613,0.0000,0.0000,0.0000,98.4821,1.5179,1.5179,99.6966,0.3034
