eGRID2006 Version 2.1 State File (Year 2004 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This state-level file has 51 records and 92 data elements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eGRID2006 2004 file State sequence number,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input (MMBtu),State ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual mercury emissions (lbs),State annual NOx output emission rate (lb/MWh),State ozone season NOx output emission rate (lb/MWh),State annual SO2 output emission rate (lb/MWh),State annual CO2 output emission rate (lb/MWh),State annual mercury output emission rate (lb/GWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual mercury input emission rate (lb/BBtu),State coal annual NOx output emission rate (lb/MWh),State oil annual NOx output emission rate (lb/MWh),State gas annual NOx output emission rate (lb/MWh),State fossil fuel annual NOx output emission rate (lb/MWh),State coal ozone season NOx output emission rate (lb/MWh),State oil ozone season NOx output emission rate (lb/MWh),State gas ozone season NOx output emission rate (lb/MWh),State fossil fuel ozone season NOx output emission rate (lb/MWh),State coal annual SO2 output emission rate (lb/MWh),State oil annual SO2 output emission rate (lb/MWh),State gas annual SO2 output emission rate (lb/MWh),State fossil fuel annual SO2 output emission rate (lb/MWh),State coal annual CO2 output emission rate (lb/MWh),State oil annual CO2 output emission rate (lb/MWh),State gas annual CO2 output emission rate (lb/MWh),State fossil fuel annual CO2 output emission rate (lb/MWh),State coal annual mercury output emission rate (lb/GWh),State fossil fuel annual mercury output emission rate (lb/GWh),State coal annual NOx input emission rate (lb/MMBtu),State oil annual NOx input emission rate (lb/MMBtu),State gas annual NOx input emission rate (lb/MMBtu),State fossil fuel annual NOx input emission rate (lb/MMBtu),State coal ozone season NOx input emission rate (lb/MMBtu),State oil ozone season NOx input emission rate (lb/MMBtu),State gas ozone season NOx input emission rate (lb/MMBtu),State fossil fuel ozone season NOx input emission rate (lb/MMBtu),State coal annual SO2 input emission rate (lb/MMBtu),State oil annual SO2 input emission rate (lb/MMBtu),State gas annual SO2 input emission rate (lb/MMBtu),State fossil fuel annual SO2 input emission rate (lb/MMBtu),State coal annual CO2 input emission rate (lb/MMBtu),State oil annual CO2 input emission rate (lb/MMBtu),State gas annual CO2 input emission rate (lb/MMBtu),State fossil fuel annual CO2 input emission rate (lb/MMBtu),State coal annual mercury input emission rate (lb/BBtu),State fossil fuel annual mercury input emission rate (lb/BBtu),State annual non-baseload NOx output emission rate (lb/MWh),State ozone season non-baseload NOx output emission rate (lb/MWh),State annual non-baseload SO2 output emission rate (lb/MWh) ,State annual non-baseload CO2 output emission rate (lb/MWh) ,State annual non-baseload Hg output emission rate (lb/MWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass/ wood net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),"State annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)",State annual other unknown/purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass/ wood generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),"State other fossil (tires, batteries, chemicals, etc.) generation percent (resource mix)",State other unknown/purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEQST04,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AK,02,2062.70,54881118.0,22516312.9,6526711.2,2624617.3,12005.78,5223.23,3925.23,3610849.74,9.08,3.679,3.980,1.203,1106.484,0.0014,0.438,0.464,0.143,131.588,0.0002,4.866,12.691,3.075,4.758,4.717,14.872,3.367,5.248,3.113,7.425,0.040,1.556,1702.747,1681.041,1328.969,1431.064,0.0137,0.0018,0.587,1.204,0.269,0.438,0.594,1.379,0.280,0.464,0.375,0.705,0.004,0.143,205.304,159.541,116.390,131.588,0.0017,0.0002,5.8020,5.7490,2.3990,1436.5630,0.0000,648426.8,747619.3,3623430.8,0.0,1498018.9,9215.4,0.0,0.0,0.0,0.0,0.0,5019476.9,1507234.3,9215.4,9.935,11.455,55.517,0.000,22.952,0.141,0.000,0.000,0.000,0.000,0.000,76.907,23.093,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AL,01,33294.70,979833475.0,453167058.5,137328136.7,62328214.3,144028.09,55308.26,423774.49,89170715.07,5138.02,2.098,1.775,6.172,1298.652,0.0374,0.294,0.244,0.865,182.012,0.0052,3.426,27.220,0.280,3.034,2.867,27.220,0.223,2.453,10.352,2.761,0.012,9.062,2056.719,1782.526,982.258,1922.737,0.0639,0.0559,0.332,2.438,0.033,0.301,0.280,2.438,0.027,0.248,1.004,0.247,0.001,0.899,199.567,159.654,116.134,190.833,0.0062,0.0056,2.6580,1.9690,8.0050,1689.3590,0.0370,74764188.7,206818.2,15987626.4,31635789.0,10626220.4,3898269.0,0.0,0.0,0.0,199283.5,9941.5,122803647.3,14524489.4,3898269.0,54.442,0.151,11.642,23.037,7.738,2.839,0.000,0.000,0.000,0.145,0.007,89.424,10.577,2.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AR,05,13863.10,378939313.0,182445492.4,51825220.8,23445368.6,44716.64,20882.86,87555.28,33174714.96,1095.99,1.726,1.781,3.379,1280.254,0.0211,0.236,0.229,0.462,175.092,0.0029,2.998,2.568,1.253,2.706,3.000,2.143,1.407,2.678,6.075,7.201,1.271,5.271,2210.112,1690.769,1554.374,2099.883,0.0420,0.0349,0.274,0.223,0.098,0.240,0.274,0.203,0.101,0.232,0.554,0.626,0.099,0.468,201.702,147.081,121.077,186.282,0.0038,0.0031,2.1720,1.7780,3.6160,1816.1460,0.0170,25355532.1,488952.0,4951390.6,15449851.0,3668183.7,1911259.1,0.0,0.0,0.0,52.5,0.0,46245778.1,5579442.8,1911259.1,48.925,0.944,9.554,29.812,7.078,3.688,0.000,0.000,0.000,0.000,0.000,89.234,10.766,3.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AZ,04,28262.70,693979319.2,330443035.5,98897707.0,46079440.3,87533.89,39459.31,60941.47,60271433.21,1416.42,1.770,1.713,1.232,1218.864,0.0143,0.252,0.239,0.176,173.698,0.0020,4.019,15.676,0.541,2.741,4.012,14.912,0.635,2.597,3.010,3.074,0.014,1.909,2265.494,1967.774,1238.070,1888.004,0.0351,0.0222,0.362,1.272,0.052,0.252,0.364,1.156,0.060,0.239,0.271,0.249,0.001,0.176,204.018,159.654,118.393,173.743,0.0032,0.0020,1.4210,1.3980,0.8920,1545.3770,0.0070,39813867.4,40515.9,23962745.5,28112609.0,6919706.7,43997.6,0.0,4264.9,0.0,0.0,0.0,91929737.8,6967969.2,48262.5,40.258,0.041,24.230,28.426,6.997,0.045,0.000,0.004,0.000,0.000,0.000,92.954,7.046,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CA,06,64909.70,1187911612.0,538435449.4,192809576.0,89086908.9,32972.27,14306.41,12369.45,67521916.04,244.97,0.342,0.321,0.128,700.400,0.0013,0.056,0.053,0.021,113.682,0.0002,0.754,1.532,0.438,0.463,0.755,1.482,0.421,0.446,3.020,7.742,0.022,0.222,2247.887,2011.438,1224.186,1265.055,0.0022,0.0001,0.070,0.157,0.042,0.045,0.070,0.163,0.040,0.043,0.278,0.791,0.002,0.021,207.183,205.500,118.020,121.902,0.0002,0.0000,0.4330,0.4090,0.0640,1252.9670,0.0000,2244354.6,2243538.1,99694445.5,30267887.0,33311473.7,6022891.4,4289254.2,570890.0,12027030.0,1951831.8,185979.7,136588036.7,56221539.3,22910065.6,1.164,1.164,51.706,15.698,17.277,3.124,2.225,0.296,6.238,1.012,0.097,70.841,29.159,11.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CO,08,12548.50,501394036.3,212791404.4,47865490.9,20475407.3,71850.68,30247.83,64094.93,47532472.54,516.99,3.002,2.955,2.678,1986.085,0.0108,0.287,0.284,0.256,189.601,0.0010,3.832,25.898,0.534,3.081,3.858,27.511,0.492,3.047,3.558,6.674,0.011,2.750,2351.447,4237.484,980.847,2039.068,0.0144,0.0111,0.334,0.976,0.064,0.287,0.332,1.007,0.062,0.284,0.310,0.251,0.001,0.256,204.943,159.637,118.365,189.719,0.0013,0.0010,2.1560,2.2600,1.9240,1668.3640,0.0090,35848460.6,13707.5,10745340.0,0.0,1002862.1,34979.9,220140.9,0.0,0.0,0.0,0.0,46607508.1,1257982.9,255120.8,74.894,0.029,22.449,0.000,2.095,0.073,0.460,0.000,0.000,0.000,0.000,97.372,2.628,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CT,09,8454.40,183084029.8,89230751.8,32562800.1,14580572.1,11770.76,4783.70,8119.56,12279200.24,369.54,0.723,0.656,0.499,754.186,0.0113,0.129,0.107,0.089,134.137,0.0020,2.552,2.419,0.331,1.296,2.365,2.373,0.354,1.099,1.791,4.122,0.022,1.070,2094.270,1909.712,1333.425,1648.177,0.0200,0.0065,0.221,0.204,0.029,0.113,0.202,0.192,0.030,0.092,0.155,0.347,0.002,0.094,181.478,160.873,118.056,144.058,0.0017,0.0006,1.2430,1.2150,1.3830,1773.5410,0.0010,4256431.1,1674503.1,8108839.7,16539097.0,462936.5,955073.9,0.0,0.0,0.0,553961.7,11957.2,31144789.7,1418010.4,955073.9,13.072,5.142,24.902,50.791,1.422,2.933,0.000,0.000,0.000,1.701,0.037,95.645,4.355,2.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DC,11,868.00,818846.0,404615.0,36487.0,16114.0,92.05,41.12,173.32,65936.60,N/A,5.046,5.104,9.500,3614.251,N/A,0.225,0.203,0.423,161.048,N/A,N/A,5.046,N/A,5.046,N/A,5.104,N/A,5.104,N/A,9.500,N/A,9.500,N/A,3614.251,N/A,3614.251,N/A,N/A,N/A,0.225,N/A,0.225,N/A,0.203,N/A,0.203,N/A,0.423,N/A,0.423,N/A,161.048,N/A,161.048,N/A,N/A,5.0460,5.1040,9.5000,3614.2510,N/A,0.0,36487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36487.0,0.0,0.0,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DE,10,3609.50,73270907.2,30459597.8,7502541.5,3061594.4,11337.97,4059.36,36964.04,6766287.88,344.61,3.022,2.652,9.854,1803.732,0.0459,0.309,0.267,1.009,184.692,0.0047,3.790,1.034,0.248,3.080,3.330,1.030,0.266,2.694,13.683,0.570,0.175,10.315,2203.408,641.587,1238.773,1804.224,0.0649,0.0483,0.345,0.203,0.025,0.325,0.300,0.181,0.018,0.279,1.247,0.112,0.018,1.088,200.813,125.714,123.982,190.309,0.0059,0.0051,2.8070,2.4380,8.5310,1687.7030,0.0400,4750119.6,721189.6,1669061.4,0.0,0.0,0.0,0.0,0.0,0.0,362171.0,0.0,7502541.5,0.0,0.0,63.314,9.613,22.247,0.000,0.000,0.000,0.000,0.000,0.000,4.827,0.000,100.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
